m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20
-0.0158,-0.027,-0.0162,-0.0092,0.0182,-0.0126,-0.0058,0.0004,0.0114,0.0188,-0.0052,0.007,0.0162,-0.0016,-0.0002,0.0128,-0.0222,-0.03,-0.0178,0.0016
-0.019,-0.054,-0.0354,-0.0224,0.0296,0.0002,-0.004,0.0282,-0.009,0.002,-0.0144,0.0004,0.0126,0.0138,-0.0074,0.0172,-0.0444,-0.023,-0.0334,0.0026
-0.021,-0.0826,-0.0484,-0.0486,0.0326,-0.0124,-0.0144,0.031,-0.012,0.0344,-0.0184,-0.0108,0.011,0.025,-0.014,0.0156,-0.0564,-0.0242,-0.0266,-0.0026
-0.0186,-0.0902,-0.0612,-0.046,0.0298,-0.0022,-0.0346,0.015,-0.0046,0.05,-0.0268,-0.0226,-0.0022,0.0284,-0.0038,0.0332,-0.076,-0.0266,-0.0168,-0.0062
-0.0086,-0.0936,-0.0734,-0.0518,0.0322,0.001,-0.0222,0.021,-0.008,0.0518,-0.0334,-0.01,-0.013,0.0066,0.001,0.0326,-0.0944,-0.0272,-0.0282,-0.003
0.001,-0.107,-0.0756,-0.0582,0.0234,-0.0062,-0.0054,0.0058,0.0096,0.0666,-0.0456,-0.0002,-0.0166,0.0018,-0.0112,0.0452,-0.1156,-0.013,-0.0246,-0.0054
-0.0122,-0.1008,-0.0938,-0.0618,0.0274,0.0004,0.0034,0.0046,0.0034,0.0682,-0.0418,0.0004,-0.0116,0.0084,-0.008,0.0536,-0.1136,-0.019,-0.0404,-0.0004
-0.0178,-0.105,-0.0882,-0.0638,0.0488,0.0074,0.0096,-0.001,0.0042,0.0704,-0.0544,-0.0024,-0.0118,0.0238,-0.004,0.0572,-0.1198,-0.0348,-0.0382,-0.008
-0.0214,-0.1148,-0.091,-0.0682,0.05,0.0046,0.0022,0.0052,0.0116,0.0958,-0.0644,0.0048,-0.0028,0.0196,0.0094,0.0642,-0.123,-0.0284,-0.034,0.016
-0.0262,-0.11,-0.095,-0.0744,0.0476,-0.0056,-0.0036,0.0216,-0.0034,0.105,-0.0704,-0.001,0.0014,0.0198,0.0028,0.0622,-0.1392,-0.0242,-0.048,0.0162
-0.0246,-0.1304,-0.1054,-0.0736,0.0434,0.0082,-0.0244,0.019,0.0182,0.1114,-0.0496,-0.0032,0.001,0.0178,0.0032,0.0442,-0.1228,-0.0308,-0.0344,0.003
-0.0126,-0.1434,-0.1162,-0.0724,0.0424,0.0078,-0.0216,0.007,0.025,0.1254,-0.0496,-0.0044,-0.0018,0.0158,0.016,0.0484,-0.1428,-0.0394,-0.0218,-0.0064
-0.008,-0.1574,-0.1226,-0.0772,0.0414,0.0158,-0.0366,0.0044,0.0308,0.1318,-0.0358,-0.0112,0.0074,0.0062,0.0214,0.0418,-0.1618,-0.0474,-0.0274,-0.0116
-0.0164,-0.1554,-0.142,-0.0746,0.0416,0.0154,-0.036,-0.0126,0.029,0.1408,-0.0384,-0.025,0.0062,0.0054,0.0142,0.0482,-0.173,-0.0498,-0.0204,-0.015
-0.0298,-0.1796,-0.1382,-0.076,0.0472,0.01,-0.0412,-0.0178,0.0324,0.137,-0.051,-0.0224,-0.0026,0.0194,0.0204,0.0448,-0.1796,-0.0596,-0.0222,-0.0112
-0.034,-0.1852,-0.1432,-0.0658,0.0554,0.0204,-0.0258,-0.0142,0.0346,0.1484,-0.0566,-0.0194,-0.009,0.0152,0.0276,0.0494,-0.1862,-0.0556,-0.0302,-0.0176
-0.04,-0.1914,-0.1482,-0.0596,0.0476,0.0216,-0.0296,0.002,0.0386,0.1442,-0.0672,-0.0164,-0.0154,0.0046,0.0232,0.0498,-0.1824,-0.0548,-0.0262,-0.008
-0.0442,-0.1988,-0.1542,-0.0566,0.0514,0.0254,-0.0346,-0.0024,0.0326,0.1434,-0.0776,-0.0256,-0.0102,-0.0006,0.0244,0.0508,-0.1948,-0.0606,-0.0172,-0.0122
-0.0416,-0.1946,-0.1576,-0.0646,0.0584,0.0184,-0.0344,0.0102,0.0438,0.1376,-0.087,-0.0296,-0.0134,-0.0044,0.027,0.0744,-0.193,-0.0626,-0.012,-0.0282
-0.0434,-0.2048,-0.1598,-0.0678,0.0698,0.0242,-0.032,0.0112,0.0406,0.1478,-0.0858,-0.0384,-0.0132,-0.004,0.0232,0.0776,-0.2072,-0.0708,-0.0058,-0.0156
-0.0536,-0.2112,-0.166,-0.077,0.0648,0.0266,-0.0342,0.017,0.042,0.1458,-0.0842,-0.0276,-0.007,-0.0054,0.0272,0.0692,-0.2044,-0.0756,-0.01,-0.0218
-0.0622,-0.228,-0.1596,-0.0684,0.064,0.0296,-0.0458,0.0132,0.0436,0.1526,-0.0864,-0.0204,-0.0196,-0.0096,0.0228,0.0746,-0.1994,-0.0786,-0.0056,-0.033
-0.0674,-0.2356,-0.1554,-0.0716,0.072,0.0318,-0.0464,0.0206,0.0454,0.1566,-0.1082,-0.019,-0.0256,-0.0046,0.0232,0.0872,-0.1916,-0.0716,0.002,-0.0418
-0.0698,-0.2378,-0.1482,-0.0578,0.0586,0.0302,-0.0546,0.0264,0.0694,0.1482,-0.1118,-0.0254,-0.0196,-0.0042,0.0354,0.077,-0.2076,-0.0616,-0.0006,-0.039
-0.066,-0.2434,-0.146,-0.0602,0.0646,0.0202,-0.0526,0.0148,0.076,0.1452,-0.1218,-0.0242,-0.023,-0.006,0.0298,0.0854,-0.215,-0.069,0.0038,-0.0444
